datetime,short_forcast,temperature,is_available
2020-08-28 08:00:00,Mostly Sunny,75,1
2020-08-28 08:15:00,Mostly Sunny,75,1
2020-08-28 08:30:00,Mostly Sunny,75,1
2020-08-28 08:45:00,Mostly Sunny,75,1
2020-08-28 09:00:00,Mostly Sunny,77,1
2020-08-28 09:15:00,Mostly Sunny,77,1
2020-08-28 09:30:00,Mostly Sunny,77,1
2020-08-28 09:45:00,Mostly Sunny,77,1
2020-08-28 10:00:00,Mostly Sunny,80,1
2020-08-28 10:15:00,Mostly Sunny,80,1
2020-08-28 10:30:00,Mostly Sunny,80,1
2020-08-28 10:45:00,Mostly Sunny,80,1
2020-08-28 11:00:00,Mostly Sunny,82,0
2020-08-28 11:15:00,Mostly Sunny,82,0
2020-08-28 11:30:00,Mostly Sunny,82,0
2020-08-28 11:45:00,Mostly Sunny,82,1
2020-08-28 12:00:00,Mostly Sunny,84,1
2020-08-28 12:15:00,Mostly Sunny,84,1
2020-08-28 12:30:00,Mostly Sunny,84,1
2020-08-28 12:45:00,Mostly Sunny,84,1
2020-08-28 13:00:00,Mostly Sunny,86,1
2020-08-28 13:15:00,Mostly Sunny,86,1
2020-08-28 13:30:00,Mostly Sunny,86,1
2020-08-28 13:45:00,Mostly Sunny,86,1
2020-08-28 14:00:00,Chance Showers And Thunderstorms,87,1
2020-08-28 14:15:00,Chance Showers And Thunderstorms,87,1
2020-08-28 14:30:00,Chance Showers And Thunderstorms,87,1
